rr,sl_buffer_atr,swing_lookback,use_body_filter,use_breakeven,use_trend_filter,n,wr,pf,sharpe,total_ret,max_dd,avg_win,avg_loss,avg_pnl,expectancy
0.5,0.1,15,False,False,True,485,0.5257731958762887,0.8135513938250575,-1.1573390490088717,-0.16470601453658584,-0.19866031968255282,0.0029831606859432184,-0.004065406693842635,-0.00035945889622326845,-0.0003594588962232688
0.5,0.1,15,False,False,False,526,0.5209125475285171,0.7932218354360455,-1.3506122842092079,-0.19355808654882378,-0.21404394022085899,0.0029291474762363524,-0.004015102154369537,-0.0003977553886166588,-0.0003977553886166589
0.5,0.1,20,True,True,True,325,0.5169230769230769,0.6297440086790707,-2.1471837261054767,-0.20702868389161488,-0.21822127084587412,0.002317429199153284,-0.0039377855380488816,-0.000704320689279762,-0.000704320689279762
0.5,0.1,20,True,True,False,329,0.513677811550152,0.6233783684527959,-2.2064569118408253,-0.21404267335311555,-0.22777629555227466,0.0023284468196660825,-0.003945311672229663,-0.0007226211399184748,-0.0007226211399184745
0.5,0.1,20,True,False,True,325,0.5169230769230769,0.6297440086790707,-2.1471837261054767,-0.20702868389161488,-0.21822127084587412,0.002317429199153284,-0.0039377855380488816,-0.000704320689279762,-0.000704320689279762
0.5,0.1,20,True,False,False,329,0.513677811550152,0.6233783684527959,-2.2064569118408253,-0.21404267335311555,-0.22777629555227466,0.0023284468196660825,-0.003945311672229663,-0.0007226211399184748,-0.0007226211399184745
0.5,0.1,20,False,True,True,433,0.5381062355658198,0.8676383823327154,-0.7502589509256814,-0.11036828944751798,-0.1483293719853428,0.003138114310192382,-0.0042136254525127585,-0.00025760844394394106,-0.0002576084439439416
0.5,0.1,20,False,True,False,443,0.5327313769751693,0.8525754744609078,-0.8562728973127304,-0.12496759438725735,-0.15462007553524554,0.0031369283743863875,-0.004194820914745369,-0.0002889680203094898,-0.0002889680203094901
0.5,0.1,20,False,False,True,433,0.5381062355658198,0.8676383823327154,-0.7502589509256814,-0.11036828944751798,-0.1483293719853428,0.003138114310192382,-0.0042136254525127585,-0.00025760844394394106,-0.0002576084439439416
0.5,0.1,20,False,False,False,443,0.5327313769751693,0.8525754744609078,-0.8562728973127304,-0.12496759438725735,-0.15462007553524554,0.0031369283743863875,-0.004194820914745369,-0.0002889680203094898,-0.0002889680203094901
0.5,0.1,30,True,True,True,272,0.5110294117647058,0.6241454932173272,-1.9971867980908868,-0.18052037253682596,-0.1945709385134895,0.0023460036892746436,-0.003928312338739459,-0.000721952309717546,-0.0007219523097175464
0.5,0.1,30,True,True,False,273,0.5091575091575091,0.6191159637537433,-2.037479020359005,-0.18399854544254135,-0.19798947565005068,0.0023460036892746436,-0.003930670961240041,-0.000734854930391905,-0.0007348549303919053
0.5,0.1,30,True,False,True,272,0.5110294117647058,0.6241454932173272,-1.9971867980908868,-0.18052037253682596,-0.1945709385134895,0.0023460036892746436,-0.003928312338739459,-0.000721952309717546,-0.0007219523097175464
0.5,0.1,30,True,False,False,273,0.5091575091575091,0.6191159637537433,-2.037479020359005,-0.18399854544254135,-0.19798947565005068,0.0023460036892746436,-0.003930670961240041,-0.000734854930391905,-0.0007348549303919053
0.5,0.1,30,False,True,True,359,0.5376044568245125,0.8674247938828152,-0.6663781375204442,-0.09446306306950647,-0.13179864374412534,0.003201378040594882,-0.0042909588631627965,-0.0002630451516718994,-0.00026304515167190003
0.5,0.1,30,False,True,False,360,0.5361111111111111,0.8622866974191217,-0.6963534519759297,-0.09830649484450382,-0.13548360958443711,0.003201378040594882,-0.004290679874484082,-0.00027410438112230386,-0.0002741043811223039
0.5,0.1,30,False,False,True,359,0.5376044568245125,0.8674247938828152,-0.6663781375204442,-0.09446306306950647,-0.13179864374412534,0.003201378040594882,-0.0042909588631627965,-0.0002630451516718994,-0.00026304515167190003
0.5,0.1,30,False,False,False,360,0.5361111111111111,0.8622866974191217,-0.6963534519759297,-0.09830649484450382,-0.13548360958443711,0.003201378040594882,-0.004290679874484082,-0.00027410438112230386,-0.0002741043811223039
0.5,0.3,5,True,True,True,533,0.5553470919324578,0.644293636704741,-2.53246970154061,-0.29222103682384426,-0.3198415627084612,0.002087563328175487,-0.004046682972895627,-0.0006400471283983477,-0.0006400471283983479
0.5,0.3,5,True,True,False,650,0.5646153846153846,0.6604907262230619,-2.692793195943186,-0.3204418024973402,-0.37009824388891005,0.0020213265260998234,-0.003968710131657035,-0.0005866432802773938,-0.0005866432802773935
0.5,0.3,5,True,False,True,533,0.5553470919324578,0.644293636704741,-2.53246970154061,-0.29222103682384426,-0.3198415627084612,0.002087563328175487,-0.004046682972895627,-0.0006400471283983477,-0.0006400471283983479
0.5,0.3,5,True,False,False,650,0.5646153846153846,0.6604907262230619,-2.692793195943186,-0.3204418024973402,-0.37009824388891005,0.0020213265260998234,-0.003968710131657035,-0.0005866432802773938,-0.0005866432802773935
0.5,0.3,5,False,True,True,704,0.5724431818181818,0.8855114376968343,-0.762924371692924,-0.14903091750860042,-0.1941315157915962,0.0029370219496812843,-0.004440701360649495,-0.00021737395430957422,-0.0002173739543095748
0.5,0.3,5,False,True,False,862,0.5765661252900232,0.86754442735368,-1.0030129397079524,-0.1965881296897749,-0.22010196439630667,0.0027611521846168624,-0.004333732928065548,-0.00024306250926838102,-0.00024306250926838142
0.5,0.3,5,False,False,True,704,0.5724431818181818,0.8855114376968343,-0.762924371692924,-0.14903091750860042,-0.1941315157915962,0.0029370219496812843,-0.004440701360649495,-0.00021737395430957422,-0.0002173739543095748
0.5,0.3,5,False,False,False,862,0.5765661252900232,0.86754442735368,-1.0030129397079524,-0.1965881296897749,-0.22010196439630667,0.0027611521846168624,-0.004333732928065548,-0.00024306250926838102,-0.00024306250926838142
0.5,0.3,10,True,True,True,421,0.5486935866983373,0.6786797221280013,-1.9830960260721604,-0.22945370650760255,-0.2630932720333607,0.0023462254047113486,-0.0042030372456016004,-0.0006094988317719299,-0.0006094988317719297
0.5,0.3,10,True,True,False,477,0.559748427672956,0.6854715860619971,-2.0217321230713066,-0.24687759665311115,-0.3018118386352183,0.0022781043566461024,-0.004225480715219305,-0.000585109197005335,-0.0005851091970053349
0.5,0.3,10,True,False,True,421,0.5486935866983373,0.6786797221280013,-1.9830960260721604,-0.22945370650760255,-0.2630932720333607,0.0023462254047113486,-0.0042030372456016004,-0.0006094988317719299,-0.0006094988317719297
0.5,0.3,10,True,False,False,477,0.559748427672956,0.6854715860619971,-2.0217321230713066,-0.24687759665311115,-0.3018118386352183,0.0022781043566461024,-0.004225480715219305,-0.000585109197005335,-0.0005851091970053349
0.5,0.3,10,False,True,True,564,0.5815602836879432,0.9053270019652749,-0.5667584467729677,-0.10425336518151185,-0.17236841970352948,0.003004113795951315,-0.0046118242308900576,-0.00018269715145039398,-0.00018269715145039444
0.5,0.3,10,False,True,False,646,0.5804953560371517,0.846541764852232,-0.9783613919923275,-0.17991837256487198,-0.21768080860183364,0.002806168828547624,-0.004586985673329487,-0.000295293818524662,-0.00029529381852466197
0.5,0.3,10,False,False,True,564,0.5815602836879432,0.9053270019652749,-0.5667584467729677,-0.10425336518151185,-0.17236841970352948,0.003004113795951315,-0.0046118242308900576,-0.00018269715145039398,-0.00018269715145039444
0.5,0.3,10,False,False,False,646,0.5804953560371517,0.846541764852232,-0.9783613919923275,-0.17991837256487198,-0.21768080860183364,0.002806168828547624,-0.004586985673329487,-0.000295293818524662,-0.00029529381852466197
0.5,0.3,15,True,True,True,362,0.5441988950276243,0.6633732726589703,-1.9795190409190884,-0.22131935870724062,-0.23955239774087936,0.002464571613286135,-0.0044357366501857854,-0.0006805965178543809,-0.0006805965178543814
0.5,0.3,15,True,True,False,389,0.5449871465295629,0.676624246542703,-1.9586967404906777,-0.22643610362014122,-0.2669822350403947,0.0024942302427135203,-0.004415212177225864,-0.0006496548686727808,-0.000649654868672781
0.5,0.3,15,True,False,True,362,0.5441988950276243,0.6633732726589703,-1.9795190409190884,-0.22131935870724062,-0.23955239774087936,0.002464571613286135,-0.0044357366501857854,-0.0006805965178543809,-0.0006805965178543814
0.5,0.3,15,True,False,False,389,0.5449871465295629,0.676624246542703,-1.9586967404906777,-0.22643610362014122,-0.2669822350403947,0.0024942302427135203,-0.004415212177225864,-0.0006496548686727808,-0.000649654868672781
0.5,0.3,15,False,True,True,485,0.5711340206185567,0.8791147852729414,-0.7005896337115328,-0.11807274067463114,-0.16002178161543493,0.003130689017264413,-0.0047425375650910285,-0.0002458700118694667,-0.00024587001186946746
